"Variable" "Componente1" "Componente2" "Componente3" "Componente4" "Componente5"
"alimento1" "alimento1" 0.08 0.27 0.19 -0.13 -0.04
"alimento2" "alimento2" 0.11 0.07 0 -0.15 0.07
"alimento3" "alimento3" 0.16 -0.16 -0.17 -0.29 0.2
"alimento4" "alimento4" 0 0.02 0.02 0.03 0.02
"alimento5" "alimento5" 0.05 0.1 0.06 0 0.05
"alimento6" "alimento6" 0.07 0.06 0.02 -0.11 0.09
"alimento7" "alimento7" 0.12 0.17 0.14 -0.07 0.06
"alimento8" "alimento8" 0.22 -0.24 -0.31 -0.34 0.21
"alimento9" "alimento9" 0.03 0.1 0.04 -0.01 0
"alimento10" "alimento10" 0.13 0.07 0 -0.1 0.08
"alimento11" "alimento11" 0.16 0.05 0.04 -0.11 0.07
"alimento12" "alimento12" 0.25 0.18 0 -0.24 0.15
"alimento13" "alimento13" 0.28 -0.03 -0.16 -0.18 0.15
"alimento14" "alimento14" 0.14 0.29 0.12 -0.01 0.07
"alimento15" "alimento15" 0.07 0.11 0.02 0.01 0.1
"alimento16" "alimento16" 0.16 0.27 0.1 -0.06 -0.03
"alimento17" "alimento17" 0.09 0.17 0.01 -0.02 -0.11
"alimento18" "alimento18" 0.26 -0.04 -0.06 -0.09 -0.04
"alimento19" "alimento19" 0.19 0.25 0.03 -0.13 -0.17
"alimento20" "alimento20" 0.15 0.34 0.11 -0.04 -0.13
"alimento21" "alimento21" 0.15 0.14 -0.24 -0.1 -0.04
"alimento22" "alimento22" 0.15 0.06 -0.17 -0.07 -0.1
"alimento23" "alimento23" 0.2 0.22 -0.12 0.01 -0.12
"alimento24" "alimento24" 0.07 0.09 -0.06 0.02 -0.07
"alimento25" "alimento25" 0.32 0.21 -0.27 0.05 0.08
"alimento26" "alimento26" 0.25 0.1 -0.05 -0.13 0.05
"alimento27" "alimento27" 0.12 0.38 0.06 -0.03 -0.05
"alimento28" "alimento28" 0.08 0.33 0.1 0.01 -0.09
"alimento29" "alimento29" 0.13 0.32 0.02 0.04 -0.01
"alimento30" "alimento30" 0.1 0.28 -0.03 0.03 -0.08
"alimento31" "alimento31" 0.06 0.25 0.08 0 -0.06
"alimento32" "alimento32" 0.1 0.26 0.11 -0.04 -0.08
"alimento33" "alimento33" 0.08 0.32 0.1 0.05 -0.1
